"","clust_nr","temp_dist","values"
"1","1",-50,8.81012641356979
"2","1",-49.9,8.80505959045427
"3","1",-49.8,8.80231622772921
"4","1",-49.7,8.80034093474082
"5","1",-49.6,8.79723216363444
"6","1",-49.5,8.79368162035978
"7","1",-49.4,8.79031520716678
"8","1",-49.3,8.78545996859672
"9","1",-49.2,8.77946810806679
"10","1",-49.1,8.77344100131469
"11","1",-49,8.76727401962419
"12","1",-48.9,8.76151622142956
"13","1",-48.8,8.7567363706126
"14","1",-48.7,8.75309651364493
"15","1",-48.6,8.75006200250309
"16","1",-48.5,8.7450243921024
"17","1",-48.4,8.73836137935924
"18","1",-48.3,8.73186547268929
"19","1",-48.2,8.7265402294171
"20","1",-48.1,8.72286635867456
"21","1",-48,8.71984157158839
"22","1",-47.9,8.71687474581531
"23","1",-47.8,8.71358673309058
"24","1",-47.7,8.71001597219152
"25","1",-47.6,8.70636887756475
"26","1",-47.5,8.70213821433608
"27","1",-47.4,8.69775420646085
"28","1",-47.3,8.69363409846773
"29","1",-47.2,8.68946866356505
"30","1",-47.1,8.68514113420908
"31","1",-47,8.68151727506303
"32","1",-46.9,8.67877619861102
"33","1",-46.8,8.67429877637152
"34","1",-46.7,8.66872423559465
"35","1",-46.6,8.66422686257576
"36","1",-46.5,8.66130971101241
"37","1",-46.4,8.6586106213632
"38","1",-46.3,8.6554794016594
"39","1",-46.2,8.65227499390122
"40","1",-46.1,8.64907733824624
"41","1",-46,8.64512971361027
"42","1",-45.9,8.64061250391941
"43","1",-45.8,8.63669175755764
"44","1",-45.7,8.63358956807939
"45","1",-45.6,8.63075059430662
"46","1",-45.5,8.62860909458706
"47","1",-45.4,8.6274497673564
"48","1",-45.3,8.62506561659842
"49","1",-45.2,8.62203764879969
"50","1",-45.1,8.61935709900897
"51","1",-45,8.61606987074616
"52","1",-44.9,8.61170320873456
"53","1",-44.8,8.6074223768816
"54","1",-44.7,8.60426449086573
"55","1",-44.6,8.60249393888668
"56","1",-44.5,8.60119493835023
"57","1",-44.4,8.59919355469245
"58","1",-44.3,8.59625172634226
"59","1",-44.2,8.59264414975394
"60","1",-44.1,8.58859659366269
"61","1",-44,8.58465840374082
"62","1",-43.9,8.58106447664411
"63","1",-43.8,8.57831542968399
"64","1",-43.7,8.57597935745466
"65","1",-43.6,8.57332685988202
"66","1",-43.5,8.57008283193884
"67","1",-43.4,8.56607923597499
"68","1",-43.3,8.5616526516274
"69","1",-43.2,8.55771661807798
"70","1",-43.1,8.55465501454998
"71","1",-43,8.55203191743746
"72","1",-42.9,8.5491985101433
"73","1",-42.8,8.54633311173614
"74","1",-42.7,8.54370033045033
"75","1",-42.6,8.5408211506276
"76","1",-42.5,8.5371591758267
"77","1",-42.4,8.53288750762519
"78","1",-42.3,8.52857072768812
"79","1",-42.2,8.52474119945054
"80","1",-42.1,8.52163402057158
"81","1",-42,8.51870790647112
"82","1",-41.9,8.51543433835959
"83","1",-41.8,8.51173566735723
"84","1",-41.7,8.50814627029341
"85","1",-41.6,8.50523188901969
"86","1",-41.5,8.50319392110874
"87","1",-41.4,8.50122631757453
"88","1",-41.3,8.4983293586356
"89","1",-41.2,8.49518321493426
"90","1",-41.1,8.49297267135481
"91","1",-41,8.49169333231147
"92","1",-40.9,8.49034003155935
"93","1",-40.8,8.48766693940827
"94","1",-40.7,8.48329842823387
"95","1",-40.6,8.47792434754107
"96","1",-40.5,8.47280268762833
"97","1",-40.4,8.46894878682514
"98","1",-40.3,8.46626007467165
"99","1",-40.2,8.46389114973483
"100","1",-40.1,8.46197436822288
"101","1",-40,8.46056447763829
"102","1",-39.9,8.4582834046908
"103","1",-39.8,8.45416089262014
"104","1",-39.7,8.45041486229592
"105","1",-39.6,8.44864905129493
"106","1",-39.5,8.447373300164
"107","1",-39.4,8.44461753532969
"108","1",-39.3,8.44076875504607
"109","1",-39.2,8.4370080333132
"110","1",-39.1,8.43310369075995
"111","1",-39,8.42863642334545
"112","1",-38.9,8.42413677884728
"113","1",-38.8,8.42005076186166
"114","1",-38.7,8.41629368114186
"115","1",-38.6,8.41235379680356
"116","1",-38.5,8.40823923825361
"117","1",-38.4,8.40409094432794
"118","1",-38.3,8.39957529413638
"119","1",-38.2,8.39410322175027
"120","1",-38.1,8.38793106081167
"121","1",-38,8.38192835090908
"122","1",-37.9,8.37656035236433
"123","1",-37.8,8.37182911575482
"124","1",-37.7,8.36767396507792
"125","1",-37.6,8.36369200031499
"126","1",-37.5,8.3594464486688
"127","1",-37.4,8.35511341089283
"128","1",-37.3,8.35099202126784
"129","1",-37.2,8.34695295453728
"130","1",-37.1,8.34284962222388
"131","1",-37,8.338355824773
"132","1",-36.9,8.33307398452048
"133","1",-36.8,8.32695685172734
"134","1",-36.7,8.32067725950806
"135","1",-36.6,8.31551369719976
"136","1",-36.5,8.31109591494069
"137","1",-36.4,8.30651984960792
"138","1",-36.3,8.30190281889203
"139","1",-36.2,8.29742398728283
"140","1",-36.1,8.29167974834055
"141","1",-36,8.28457693785798
"142","1",-35.9,8.2805043413815
"143","1",-35.8,8.27723751070153
"144","1",-35.7,8.27215107844339
"145","1",-35.6,8.26841577187758
"146","1",-35.5,8.26574226201712
"147","1",-35.4,8.2628733476759
"148","1",-35.3,8.25877241374108
"149","1",-35.2,8.25334676021446
"150","1",-35.1,8.24905656194743
"151","1",-35,8.24538685286913
"152","1",-34.9,8.24071908443146
"153","1",-34.8,8.23561960887468
"154","1",-34.7,8.23113693781403
"155","1",-34.6,8.22671771811537
"156","1",-34.5,8.22176875184626
