"","clust_nr","temp_dist","values"
"1","1",-50,11.7368759767971
"2","1",-49.9,11.732776031004
"3","1",-49.8,11.7288509604942
"4","1",-49.7,11.7250684619506
"5","1",-49.6,11.7213962320564
"6","1",-49.5,11.7177976087795
"7","1",-49.4,11.7142201657514
"8","1",-49.3,11.710618128261
"9","1",-49.2,11.7069646255194
"10","1",-49.1,11.7032432378156
"11","1",-49,11.6994716253382
"12","1",-48.9,11.6957067798755
"13","1",-48.8,11.6919965996244
"14","1",-48.7,11.6883327136363
"15","1",-48.6,11.6847062440196
"16","1",-48.5,11.6811020049694
"17","1",-48.4,11.6774433487361
"18","1",-48.3,11.6736209282472
"19","1",-48.2,11.6696612475386
"20","1",-48.1,11.6656517875403
"21","1",-48,11.6617958913249
"22","1",-47.9,11.6582290724082
"23","1",-47.8,11.6549651532473
"24","1",-47.7,11.6518355376273
"25","1",-47.6,11.6486487707493
"26","1",-47.5,11.6452529765737
"27","1",-47.4,11.6415400299806
"28","1",-47.3,11.637613801809
"29","1",-47.2,11.6336234463083
"30","1",-47.1,11.6297024955567
"31","1",-47,11.6257703286701
"32","1",-46.9,11.6217017455549
"33","1",-46.8,11.617441791171
"34","1",-46.7,11.6130719116257
"35","1",-46.6,11.6087391658783
"36","1",-46.5,11.6045534180349
"37","1",-46.4,11.6005082525772
"38","1",-46.3,11.5965611311291
"39","1",-46.2,11.5927022631462
"40","1",-46.1,11.588945189328
"41","1",-46,11.5852131652759
"42","1",-45.9,11.5814487927641
"43","1",-45.8,11.577583656935
"44","1",-45.7,11.5735400492496
"45","1",-45.6,11.5692729325504
"46","1",-45.5,11.5647848079983
"47","1",-45.4,11.5601209239803
"48","1",-45.3,11.5553066510263
"49","1",-45.2,11.5505193399691
"50","1",-45.1,11.5459729054283
"51","1",-45,11.5417892419043
"52","1",-44.9,11.5380066825489
"53","1",-44.8,11.5346072624388
"54","1",-44.7,11.5313681039617
"55","1",-44.6,11.5280384247678
"56","1",-44.5,11.5243615380121
"57","1",-44.4,11.5202885723574
"58","1",-44.3,11.5158758842243
"59","1",-44.2,11.5112985780416
"60","1",-44.1,11.5068413376927
"61","1",-44,11.502677170699
"62","1",-43.9,11.4988439735745
"63","1",-43.8,11.4952447765732
"64","1",-43.7,11.491606592802
"65","1",-43.6,11.4877086735101
"66","1",-43.5,11.483602183139
"67","1",-43.4,11.4794063822774
"68","1",-43.3,11.4752254146492
"69","1",-43.2,11.4712583576831
"70","1",-43.1,11.4676704732631
"71","1",-43,11.4643659274173
"72","1",-42.9,11.4611218143825
"73","1",-42.8,11.457615967186
"74","1",-42.7,11.4535810331878
"75","1",-42.6,11.448913355917
"76","1",-42.5,11.4437436588723
"77","1",-42.4,11.4384102181405
"78","1",-42.3,11.4332970647808
"79","1",-42.2,11.4287855663648
"80","1",-42.1,11.4249796836341
"81","1",-42,11.421746486698
"82","1",-41.9,11.4188200585891
"83","1",-41.8,11.4157957583493
"84","1",-41.7,11.4123804726309
"85","1",-41.6,11.4084928588284
"86","1",-41.5,11.4042163098592
"87","1",-41.4,11.3996916120017
"88","1",-41.3,11.3950602714441
"89","1",-41.2,11.3904022093545
"90","1",-41.1,11.3858371721735
"91","1",-41,11.3814361820658
"92","1",-40.9,11.3772673813682
"93","1",-40.8,11.3733026636684
"94","1",-40.7,11.3694450574719
"95","1",-40.6,11.3655223082864
"96","1",-40.5,11.3615785317182
"97","1",-40.4,11.3577193961897
"98","1",-40.3,11.3539851334094
"99","1",-40.2,11.3502931347593
"100","1",-40.1,11.3466022270561
"101","1",-40,11.3428553741672
"102","1",-39.9,11.3390176412272
"103","1",-39.8,11.335084810596
"104","1",-39.7,11.330971802669
"105","1",-39.6,11.3265378947265
"106","1",-39.5,11.3217997926735
"107","1",-39.4,11.3168449740767
"108","1",-39.3,11.3118548626796
"109","1",-39.2,11.3070239727238
"110","1",-39.1,11.3024799628677
"111","1",-39,11.2982631499829
"112","1",-38.9,11.2942351200464
"113","1",-38.8,11.2902642038947
"114","1",-38.7,11.2861763336351
"115","1",-38.6,11.2818900678047
"116","1",-38.5,11.2773925766059
"117","1",-38.4,11.2727171778913
"118","1",-38.3,11.2679075309562
"119","1",-38.2,11.2629491826797
"120","1",-38.1,11.2577862615825
"121","1",-38,11.2522550709193
"122","1",-37.9,11.2463041838873
"123","1",-37.8,11.2400081451954
"124","1",-37.7,11.2336580308414
"125","1",-37.6,11.2275498812054
"126","1",-37.5,11.2218405161287
"127","1",-37.4,11.2165861127065
"128","1",-37.3,11.2115644361122
"129","1",-37.2,11.2064771869029
"130","1",-37.1,11.2011076866744
"131","1",-37,11.195457025345
"132","1",-36.9,11.1897387841544
"133","1",-36.8,11.1841973178182
"134","1",-36.7,11.1789758687855
"135","1",-36.6,11.174039272847
"136","1",-36.5,11.1692616966522
"137","1",-36.4,11.1645386785059
"138","1",-36.3,11.1597734145069
"139","1",-36.2,11.1548758317139
"140","1",-36.1,11.1497420475626
"141","1",-36,11.1443276199968
"142","1",-35.9,11.1386811726854
"143","1",-35.8,11.1329027296804
"144","1",-35.7,11.1270669514304
"145","1",-35.6,11.1212101070264
"146","1",-35.5,11.1153486680487
"147","1",-35.4,11.1095108554789
"148","1",-35.3,11.1035971357565
"149","1",-35.2,11.0974113607981
"150","1",-35.1,11.0909552884558
"151","1",-35,11.0843746989292
"152","1",-34.9,11.0779599541496
"153","1",-34.8,11.0719749764767
"154","1",-34.7,11.0663974780285
"155","1",-34.6,11.0610403733462
"156","1",-34.5,11.0556545536866
"157","1",-34.4,11.0501103239529
