"","clust_nr","temp_dist","values"
"1","1",-50,13.3748696063737
"2","1",-49.9,13.3718554393743
"3","1",-49.8,13.3686440333412
"4","1",-49.7,13.3652568813342
"5","1",-49.6,13.3617154764134
"6","1",-49.5,13.3580412272497
"7","1",-49.4,13.3542526006465
"8","1",-49.3,13.3503605705976
"9","1",-49.2,13.3463866419222
"10","1",-49.1,13.3423604593549
"11","1",-49,13.3383275267458
"12","1",-48.9,13.3343842327497
"13","1",-48.8,13.3306318590559
"14","1",-48.7,13.3271017417567
"15","1",-48.6,13.323791069909
"16","1",-48.5,13.3206124025743
"17","1",-48.4,13.3173914940607
"18","1",-48.3,13.3139744971144
"19","1",-48.2,13.3103327868556
"20","1",-48.1,13.3065223575202
"21","1",-48,13.3026757112391
"22","1",-47.9,13.2989737821995
"23","1",-47.8,13.2955456047725
"24","1",-47.7,13.2924026425249
"25","1",-47.6,13.2894821482741
"26","1",-47.5,13.2866345108448
"27","1",-47.4,13.283656324759
"28","1",-47.3,13.2803911656511
"29","1",-47.2,13.2767678375993
"30","1",-47.1,13.2727884634445
"31","1",-47,13.2685215012264
"32","1",-46.9,13.2640986408961
"33","1",-46.8,13.2596697881654
"34","1",-46.7,13.2553358825175
"35","1",-46.6,13.2511357845934
"36","1",-46.5,13.2470842852147
"37","1",-46.4,13.2431342526838
"38","1",-46.3,13.2392293748285
"39","1",-46.2,13.2353305582341
"40","1",-46.1,13.2313736831956
"41","1",-46,13.2273248375407
"42","1",-45.9,13.2231634597501
"43","1",-45.8,13.2188690171821
"44","1",-45.7,13.2144270544431
"45","1",-45.6,13.2098447486941
"46","1",-45.5,13.2051966640715
"47","1",-45.4,13.2006199164772
"48","1",-45.3,13.1961752189542
"49","1",-45.2,13.1918819182539
"50","1",-45.1,13.1877135659143
"51","1",-45,13.1836346611572
"52","1",-44.9,13.1795762691167
"53","1",-44.8,13.1755505017731
"54","1",-44.7,13.1715192189387
"55","1",-44.6,13.1674568715383
"56","1",-44.5,13.1633211398402
"57","1",-44.4,13.1591880842369
"58","1",-44.3,13.1551263539679
"59","1",-44.2,13.1511402793636
"60","1",-44.1,13.1472092116218
"61","1",-44,13.1432187193252
"62","1",-43.9,13.1390521367986
"63","1",-43.8,13.1346586999887
"64","1",-43.7,13.1301268764279
"65","1",-43.6,13.1255340556125
"66","1",-43.5,13.1209751308739
"67","1",-43.4,13.1165134495687
"68","1",-43.3,13.1121614840822
"69","1",-43.2,13.1078659947843
"70","1",-43.1,13.1035750829402
"71","1",-43,13.0991991270582
"72","1",-42.9,13.094627455457
"73","1",-42.8,13.0897548187209
"74","1",-42.7,13.0845436813644
"75","1",-42.6,13.0790479233296
"76","1",-42.5,13.0734160837266
"77","1",-42.4,13.0678792531842
"78","1",-42.3,13.0626710458544
"79","1",-42.2,13.0579763218425
"80","1",-42.1,13.0537794895427
"81","1",-42,13.0499118121086
"82","1",-41.9,13.0461220716703
"83","1",-41.8,13.042124589771
"84","1",-41.7,13.0376188280179
"85","1",-41.6,13.0324592837085
"86","1",-41.5,13.026706926637
"87","1",-41.4,13.0206221929686
"88","1",-41.3,13.0145408755307
"89","1",-41.2,13.0088200135335
"90","1",-41.1,13.003766092951
"91","1",-41,12.9994094825222
"92","1",-40.9,12.9955117686251
"93","1",-40.8,12.9917655426012
"94","1",-40.7,12.9878800861799
"95","1",-40.6,12.983597744858
"96","1",-40.5,12.9788411461327
"97","1",-40.4,12.9736929199602
"98","1",-40.3,12.9683957898785
"99","1",-40.2,12.9631748203541
"100","1",-40.1,12.9582378456467
"101","1",-40,12.9536031800105
"102","1",-39.9,12.9492219512518
"103","1",-39.8,12.9449669919794
"104","1",-39.7,12.9405608308074
"105","1",-39.6,12.935745201039
"106","1",-39.5,12.9304342255853
"107","1",-39.4,12.9246506529776
"108","1",-39.3,12.9184725302707
"109","1",-39.2,12.9121403859768
"110","1",-39.1,12.9058846115563
"111","1",-39,12.8998045450766
"112","1",-38.9,12.8939497340982
"113","1",-38.8,12.8883663914737
"114","1",-38.7,12.8830172288371
"115","1",-38.6,12.8778131002678
"116","1",-38.5,12.8726860623131
"117","1",-38.4,12.8675462084003
"118","1",-38.3,12.8623042272647
"119","1",-38.2,12.85684674832
"120","1",-38.1,12.8510579580431
"121","1",-38,12.8448569063742
"122","1",-37.9,12.8382949959097
"123","1",-37.8,12.8314943890736
"124","1",-37.7,12.8246638693324
"125","1",-37.6,12.8179760285468
"126","1",-37.5,12.8114473042326
"127","1",-37.4,12.8050875153896
"128","1",-37.3,12.7988424103959
"129","1",-37.2,12.7926172766557
"130","1",-37.1,12.7863448426641
"131","1",-37,12.7799893627804
"132","1",-36.9,12.773612481126
"133","1",-36.8,12.7673288517095
"134","1",-36.7,12.7611805986682
"135","1",-36.6,12.7551419236103
"136","1",-36.5,12.7491065678371
"137","1",-36.4,12.7429673049099
"138","1",-36.3,12.7366092997677
"139","1",-36.2,12.7300122247748
"140","1",-36.1,12.7232167680306
"141","1",-36,12.7163931770201
"142","1",-35.9,12.7096991180034
"143","1",-35.8,12.7033000009082
"144","1",-35.7,12.6972195595069
"145","1",-35.6,12.691318937997
"146","1",-35.5,12.6853885557907
"147","1",-35.4,12.679173407812
"148","1",-35.3,12.6724666750773
"149","1",-35.2,12.6651908364926
"150","1",-35.1,12.6575087434828
"151","1",-35,12.649686654061
"152","1",-34.9,12.641979599928
"153","1",-34.8,12.6345632579635
"154","1",-34.7,12.6274478967103
"155","1",-34.6,12.6205356395139
"156","1",-34.5,12.6136909647794
"157","1",-34.4,12.6068035193264
